Publication Number,B60K6/48,Y02T10/6221,B60K6/387,B60K6/547,B60K6/365,B60K6/405,B60K2006/4825,Y02T10/6252
US9776617,0,0,0,1,1,0,0,0
US9475478,0,0,0,1,1,0,0,0
WO2017215703A1,1,0,0,1,0,0,1,0
WO2018224258A1,1,0,0,1,0,0,1,0
DE102016101059A1,0,0,1,1,1,0,0,0
US20190039602A1,0,0,1,1,1,0,1,0
US20180148044A1,0,0,1,1,1,0,0,0
US6554736,1,0,1,1,1,0,0,0
US8622182,1,1,1,0,0,1,0,0
US10150464,1,0,0,0,1,1,0,0
US6962550,1,0,1,1,0,0,0,0
DE102013017691A1,0,0,1,1,1,0,0,0
US20170268661A1,0,0,1,1,1,0,0,0
US20080149407A1,0,0,0,1,1,0,0,0
US20170015309A1,0,0,0,1,1,0,0,0
CN107054049A,0,0,0,1,1,0,0,0
CN109228841A,0,0,0,1,1,0,0,0
US10190669,0,0,0,1,1,0,0,0
US10279798,0,0,0,1,1,0,0,0
US20170291607A1,0,0,0,1,1,0,0,0
CN109080439A,0,0,0,1,1,0,0,0
US8251165,0,0,0,1,1,0,0,0
US9944274,0,0,0,1,1,0,0,0
CN108394264A,0,0,0,1,1,0,0,0
WO2008029588A1,0,0,0,1,1,0,0,0
US20080194368A1,0,0,0,1,1,0,0,0
US7298104,0,0,0,1,1,0,0,0
US9809107,0,0,0,1,1,0,0,0
US7909728,0,0,0,1,1,0,0,0
US7513847,0,0,0,1,1,0,0,0
DE102017222636A1,0,0,0,1,1,0,0,0
WO2010012942A3,0,0,0,1,1,0,0,0
US10315641,0,0,0,1,1,0,0,0
US7950485,0,0,0,1,1,0,0,0
US9376006,0,0,1,1,1,0,0,0
JP5171500B2,1,1,1,0,1,0,0,0
JP5471203B2,1,1,1,0,1,0,0,0
JP2009120105A,1,1,1,0,1,0,0,0
JP3905079B2,1,1,1,0,1,0,0,0
JP5104368B2,1,1,1,0,1,0,0,0
JP4144559B2,1,1,1,0,1,0,0,0
JP3219006B2,1,1,1,0,1,0,0,0
JP3626674B2,1,1,1,0,1,0,0,0
JP4915217B2,1,1,1,0,1,0,0,0
JP2015031312A,1,1,1,0,1,0,0,0
JP3651847B2,1,1,1,0,1,0,0,0
WO2007147732A1,0,0,1,1,1,0,0,0
US8911316,0,0,1,1,1,0,0,0
US20170217298A1,0,0,1,1,1,0,0,0
US10046755,0,0,0,1,1,0,0,0
US8998761,0,0,0,1,1,0,0,0
US9689473,0,0,0,1,1,0,0,0
US6428438,0,0,0,1,1,0,0,0
US7917277,0,0,0,1,1,0,0,0
US10246083,0,0,0,1,1,0,0,0
US7730984,0,0,0,1,1,0,0,0
US8983696,0,0,0,1,1,0,0,0
US20180229597A1,0,0,0,1,1,0,0,0
CN108223715A,0,0,0,1,1,0,0,0
US9649926,0,0,0,1,1,0,0,0
US9541167,0,0,0,1,1,0,0,0
CN106985655A,0,0,0,1,1,0,0,0
US20150360681A1,0,0,0,1,1,0,0,0
US9770969,0,0,0,1,1,0,0,0
US10166974,0,0,0,1,1,0,0,0
CN109455080A,0,0,0,1,1,0,0,0
CN108790773A,0,0,0,1,1,0,0,0
US9873421,0,0,0,1,1,0,0,0
US9428179,0,0,0,1,1,0,0,0
US7252619,0,0,0,1,1,0,0,0
US6806667,0,0,0,1,1,0,0,0
US7393296,0,0,0,1,1,0,0,0
CN108001196A,0,0,0,1,1,0,0,0
DE102011089712A1,0,0,0,1,1,0,0,0
JP3651846B2,1,1,1,0,1,0,0,0
JP2002095191A,1,1,1,0,1,0,0,0
JP2014069760A,1,1,1,0,1,0,0,0
US20180362017A1,1,0,1,1,0,0,0,0
EP2749443B1,1,0,1,0,1,0,0,0
US9057428,1,0,1,0,0,1,0,0
DE102016226027A1,0,0,1,1,1,0,0,0
US20170037955A1,1,0,0,0,0,0,1,1
US9751411,1,0,0,0,0,0,1,1
WO2016199275A1,1,0,0,0,0,0,1,1
US20180115217A1,1,0,0,0,0,1,1,0
JP4135688B2,1,1,1,1,0,0,0,0
JP5229581B2,1,1,1,1,0,0,0,0
JP2010126072A,1,1,1,1,0,0,0,0
JP2013159330A,1,1,1,1,0,0,0,0
JP5251485B2,1,1,1,1,0,0,0,0
JP2018052143A,1,1,1,1,0,0,0,0
JP5758741B2,1,1,1,1,0,0,0,0
JP3097528B2,1,1,1,1,0,0,0,0
JP2018138419A,1,1,1,1,0,0,0,0
JP2011131828A,1,1,1,1,0,0,0,0
JP2009006781A,1,1,1,1,0,0,0,0
WO2003098069A1,1,0,1,0,0,0,0,0
FR2861020B1,1,0,1,0,0,0,0,0
US20190143977A1,1,0,1,0,0,0,0,0
CN109532459A,1,0,1,0,0,0,0,0
JP1998014171A,1,1,1,1,0,0,0,0
JP2009096400A,1,1,1,1,0,0,0,0
JP5885407B2,1,1,1,1,0,0,0,0
JP2010053695A,1,1,1,1,0,0,0,0
JP4136990B2,1,1,1,1,0,0,0,0
JP5598252B2,1,1,1,1,0,0,0,0
JP2015077861A,1,1,1,1,0,0,0,0
JP3675341B2,1,1,1,1,0,0,0,0
JP2015016748A,1,1,1,1,0,0,0,0
JP2010162923A,1,1,1,1,0,0,0,0
JP5937887B2,1,1,1,1,0,0,0,0
JP2017206216A,1,1,1,1,0,0,0,0
JP5937827B2,1,1,1,1,0,0,0,0
JP2014222989A,1,1,1,1,0,0,0,0
JP5617301B2,1,1,1,1,0,0,0,0
JP2006007968A,1,1,1,1,0,0,0,0
JP4823118B2,1,1,1,1,0,0,0,0
JP5985439B2,1,1,1,1,0,0,0,0
JP3454121B2,1,1,1,1,0,0,0,0
JP6322442B2,1,1,1,1,0,0,0,0
JP2013169831A,1,1,1,1,0,0,0,0
JP3991779B2,1,1,1,1,0,0,0,0
JP3552708B2,1,1,1,1,0,0,0,0
JP4775242B2,1,1,1,1,0,0,0,0
JP5332697B2,1,1,1,1,0,0,0,0
JP2006275097A,1,1,1,1,0,0,0,0
JP5924476B2,1,1,1,1,0,0,0,0
JP2013216152A,1,1,1,1,0,0,0,0
JP5630659B2,1,1,1,1,0,0,0,0
JP5638370B2,1,1,1,1,0,0,0,0
US20100000814A1,0,0,1,1,1,0,0,0
JP5598256B2,1,1,1,1,0,0,0,0
JP3988311B2,1,1,1,1,0,0,0,0
JP2018044566A,1,1,1,1,0,0,0,0
JP3396868B2,1,1,1,1,0,0,0,0
JP2008049809A,1,1,1,1,0,0,0,0
JP5989303B2,1,1,1,1,0,0,0,0
JP4499084B2,1,1,1,1,0,0,0,0
JP4305557B2,1,1,1,1,0,0,0,0
JP3646989B2,1,1,1,1,0,0,0,0
JP2012179999A,1,1,1,1,0,0,0,0
JP2010126073A,1,1,1,1,0,0,0,0
JP6064318B2,1,1,1,1,0,0,0,0
JP5226847B2,1,1,1,1,0,0,0,0
US10011263,1,0,0,0,0,0,1,1
US10214202,1,0,0,0,0,0,1,1
JP2008126702A,1,1,1,1,0,0,0,0
JP2009001172A,1,1,1,1,0,0,0,0
JP2011011573A,1,1,1,1,0,0,0,0
JP6245185B2,1,1,1,1,0,0,0,0
JP4292732B2,1,1,1,1,0,0,0,0
JP2012001094A,1,1,1,1,0,0,0,0
JP2011213160A,1,1,1,1,0,0,0,0
JP5374552B2,1,1,1,1,0,0,0,0
JP2016179780A,1,1,1,1,0,0,0,0
JP5478184B2,1,1,1,1,0,0,0,0
JP2011213162A,1,1,1,1,0,0,0,0
JP2011157068A,1,1,1,1,0,0,0,0
WO2019092385A1,1,0,1,0,0,0,0,0
US10328929,1,0,1,0,0,0,0,0
WO2019072474A1,1,0,1,0,0,0,0,0
US6524216,1,0,0,0,1,1,0,0
JP5378053B2,1,1,1,0,1,0,0,0
JP2005306137A,1,1,1,0,1,0,0,0
JP3418357B2,1,1,1,0,1,0,0,0
JP5050971B2,1,1,1,0,1,0,0,0
JP3578212B2,1,1,1,0,1,0,0,0
US7389168,1,0,0,1,1,0,0,0
JP2017105315A,1,1,1,0,1,0,0,0
JP2010006190A,1,1,1,0,1,0,0,0
JP2009001125A,1,1,1,0,1,0,0,0
JP2009262601A,1,1,1,0,1,0,0,0
JP5227043B2,1,1,1,0,1,0,0,0
WO2013000829A1,1,0,1,0,1,0,0,0
US9937913,1,0,0,0,0,0,1,1
US9776621,1,0,0,0,0,0,1,1
US10220828,1,0,0,0,0,0,1,1
DE102015218592A1,1,0,0,0,1,0,1,0
DE102017202340A1,1,0,0,0,1,0,1,0
DE102017200791A1,1,0,0,0,1,0,1,0
DE102015008153A1,1,0,1,0,1,0,0,0
DE3227810C2,1,0,1,0,0,0,0,0
WO2000056565A1,1,0,1,0,0,0,0,0
DE10031312A1,1,0,1,0,0,0,0,0
WO2000010827A3,1,0,1,0,0,0,0,0
US10160439,1,0,1,0,0,0,0,0
WO2018197127A1,1,0,0,0,0,0,1,1
EP2657096B1,1,0,0,0,0,0,1,1
US10059327,1,0,0,0,0,0,1,1
JP2010247689A,1,1,1,1,0,0,0,0
JP5379554B2,1,1,1,1,0,0,0,0
JP4145849B2,1,1,1,1,0,0,0,0
JP4462169B2,1,1,1,1,0,0,0,0
JP2010083454A,1,1,1,1,0,0,0,0
JP5395115B2,1,1,1,1,0,0,0,0
JP2010083230A,1,1,1,1,0,0,0,0
JP6017324B2,1,1,1,1,0,0,0,0
JP2012126198A,1,1,1,1,0,0,0,0
JP2009273295A,1,1,1,1,0,0,0,0
JP2010083231A,1,1,1,1,0,0,0,0
JP2012086722A,1,1,1,1,0,0,0,0
JP2014020505A,1,1,1,1,0,0,0,0
JP5109490B2,1,1,1,1,0,0,0,0
EP3390127A1,1,0,1,0,0,0,0,0
FR2782355B1,1,0,1,0,0,0,0,0
WO2019141514A1,1,0,1,0,0,0,0,0
US6340339,1,0,1,0,0,0,0,0
US9062692,1,0,1,0,0,0,0,0
WO2015041330A1,1,0,1,0,0,0,0,0
EP0876554B2,1,0,1,0,0,0,0,0
WO2019141459A1,1,0,1,0,0,0,0,0
US10000201,1,0,1,0,0,0,0,0
WO2015193094A3,1,0,1,0,0,0,0,0
FR3069200A1,1,0,1,0,0,0,0,0
WO2018228638A1,1,0,1,0,0,0,0,0
US9776497,1,0,1,0,0,0,0,0
WO2019097176A1,1,0,1,0,0,0,0,0
US10196055,1,0,1,0,0,0,0,0
US20190118820A1,1,0,1,0,0,0,0,0
WO2017025259A1,1,0,1,0,0,0,0,0
US10112598,1,0,1,1,0,0,1,0
EP1116620B1,1,0,0,1,1,0,0,0
DE102017112868B3,1,0,1,1,0,0,1,0
DE102017202344A1,1,0,0,0,1,0,1,0
JP2011105023A,1,1,1,1,0,0,0,0
JP2018044567A,1,1,1,1,0,0,0,0
JP2012236508A,1,1,1,1,0,0,0,0
JP2013095156A,1,1,1,1,0,0,0,0
JP5212001B2,1,1,1,1,0,0,0,0
JP2012153192A,1,1,1,1,0,0,0,0
JP5929770B2,1,1,1,1,0,0,0,0
JP3855960B2,1,1,1,1,0,0,0,0
JP2003205756A,1,1,1,1,0,0,0,0
JP6054815B2,1,1,1,1,0,0,0,0
JP3868976B2,1,1,1,1,0,0,0,0
DE102016221118A1,1,0,0,0,1,0,1,0
EP1310398A1,1,0,1,0,0,0,0,0
US10137882,1,0,1,0,0,0,0,0
DE102016206742A1,1,0,1,0,0,0,0,0
FR2888172B1,1,0,1,0,0,0,0,0
US20180142759A1,1,0,1,0,0,0,0,0
WO2019001622A1,1,0,1,0,0,0,0,0
US20140374174A1,1,0,1,0,0,0,0,0
DE102017007820A1,1,0,0,0,1,0,1,0
DE102015218574A1,1,0,0,0,1,0,1,0
DE102017207200A1,1,0,0,0,1,0,1,0
DE102015218587A1,1,0,0,0,1,0,1,0
DE102017210572A1,1,0,0,0,1,0,1,0
DE102016007609A1,1,0,0,0,1,0,1,0
US20160146332A1,1,0,0,0,1,0,1,0
DE102017206804A1,1,0,0,0,1,0,1,0
DE102017202448A1,1,0,0,0,1,0,1,0
FR3065920A1,1,0,1,1,0,0,1,0
DE102017206800A1,1,0,0,0,1,0,1,0
DE102017207198A1,1,0,0,0,1,0,1,0
JP2004306826A,1,1,1,1,0,0,0,0
JP2012201116A,1,1,1,1,0,0,0,0
JP2015116953A,1,1,1,1,0,0,0,0
JP2014097688A,1,1,1,1,0,0,0,0
JP2009001165A,1,1,1,1,0,0,0,0
JP2014015188A,1,1,1,1,0,0,0,0
JP3946705B2,1,1,1,1,0,0,0,0
JP2010162924A,1,1,1,1,0,0,0,0
JP5565636B2,1,1,1,1,0,0,0,0
JP2012121433A,1,1,1,1,0,0,0,0
JP2018130991A,1,1,1,1,0,0,0,0
JP5526445B2,1,1,1,1,0,0,0,0
JP3585392B2,1,1,1,1,0,0,0,0
JP2011105024A,1,1,1,1,0,0,0,0
JP2009173204A,1,1,1,1,0,0,0,0
JP5664498B2,1,1,1,1,0,0,0,0
DE3737229C2,1,0,1,0,0,0,0,0
DE19655301B4,1,0,1,0,0,0,0,0
DE102016005804A1,1,1,0,0,0,0,1,1
US20180264973A1,1,1,0,0,0,0,1,1
WO2015120812A1,1,1,0,0,0,0,1,1
US20140094341A1,1,1,0,0,0,0,1,1
DE102010060681A1,1,1,0,0,0,0,1,1
DE102011116132B4,1,1,0,0,0,0,1,1
US20160068151A1,1,1,0,0,0,0,1,1
US9656661,1,1,0,0,0,0,1,1
DE102009058133A1,1,1,0,0,0,0,1,1
US9358981,1,1,0,0,0,0,1,1
CN106907222A,1,1,0,0,0,0,1,1
US9555798,1,1,0,0,0,0,1,1
DE102015224686A1,1,1,0,0,0,0,1,1
US20180372198A1,1,1,0,0,0,0,1,1
DE102011081758A1,1,1,0,0,0,0,1,1
US7975571,1,1,0,0,0,0,1,1
CN103161908B,1,1,0,0,0,0,1,1
DE102015015190A1,1,1,0,0,0,0,1,1
US8795131,1,1,0,0,0,0,1,1
US20170067432A1,1,1,0,0,0,0,1,1
CN105691180A,1,1,0,0,0,0,1,1
DE102016219359A1,1,1,0,0,0,0,1,1
FR3002191A3,1,1,0,0,0,0,1,1
US8515608,1,1,0,0,0,0,1,1
US10189477,1,1,0,0,0,0,1,1
US20130166182A1,1,1,0,0,0,0,1,1
DE102014213601A1,1,1,0,0,0,0,1,1
US20190093745A1,1,0,1,1,0,0,1,0
DE102017106716A1,1,0,1,1,0,0,1,0
DE102017113713B3,1,0,1,1,0,0,1,0
US20170122421A1,1,1,1,0,0,1,0,0
US9242546,1,0,1,1,0,0,0,0
JP4069777B2,1,0,1,1,0,0,0,0
WO2015086011A1,1,0,1,0,0,0,1,0
US8453817,1,1,1,0,0,1,0,0
US7114604,1,1,1,0,0,1,0,0
FR2992263B1,1,1,1,0,0,0,0,0
DE102007034567A1,1,1,1,0,0,0,0,0
GB2454076B,1,1,1,0,0,0,0,0
WO2011121785A1,1,1,1,0,0,0,0,0
US20190092316A1,1,1,1,0,0,0,0,0
DE102012016613A1,1,1,1,0,0,0,0,0
US20130193816A1,1,1,1,0,0,1,0,0
US8672066,1,1,0,0,0,0,1,1
US20120283901A1,1,1,0,0,0,0,1,1
US9353661,1,1,0,0,0,0,1,1
DE102015224805A1,1,1,0,0,0,0,1,1
CN106143110A,1,1,0,0,0,0,1,1
CN105691401A,1,1,0,0,0,0,1,1
US20150203099A1,1,1,0,0,0,0,1,1
US9802602,1,1,0,0,0,0,1,1
EP3109112A1,1,1,0,0,0,0,1,1
US9246417,1,1,0,0,0,0,1,1
US9168914,1,1,0,0,0,0,1,1
DE202013011739U1,1,1,0,0,0,0,1,1
US9272698,1,1,0,0,0,0,1,1
DE102011076694A1,1,1,0,0,0,0,1,1
US20120273288A1,1,1,0,0,0,0,1,1
DE102014225501A1,1,1,0,0,0,0,1,1
DE102015201549A1,1,1,0,0,0,0,1,1
DE102012206156A1,1,1,0,0,0,0,1,1
US20130297125A1,1,1,0,0,0,0,1,1
US8532853,1,1,0,0,0,0,1,1
DE102011053327A1,1,1,0,0,0,0,1,1
US20160153329A1,1,1,0,0,0,0,1,1
US8858376,1,1,0,0,0,0,1,1
JP1996265909A,1,0,0,1,1,0,0,0
US8370014,1,0,0,1,1,0,0,0
US8206263,1,0,0,1,1,0,0,0
US20180148039A1,1,1,0,0,0,0,1,1
US20120329603A1,1,1,0,0,0,0,1,1
US20180050682A1,1,1,0,0,0,0,1,1
DE102010055536A1,1,1,0,0,0,0,1,1
US10000203,1,1,0,0,0,0,1,1
DE102012015434A1,1,1,0,0,0,0,1,1
US20120080286A1,1,1,0,0,0,0,1,1
DE102013210503B4,1,1,0,0,0,0,1,1
US9266521,1,1,0,0,0,0,1,1
US8784263,1,1,0,0,0,0,1,1
US20120080248A1,1,1,0,0,0,0,1,1
US8651219,1,1,0,0,0,0,1,1
US8808138,1,1,0,0,0,0,1,1
US20150261469A1,1,1,0,0,0,0,1,1
DE102011120376A1,1,1,0,0,0,0,1,1
US20180126974A1,1,1,0,0,0,0,1,1
US20160121742A1,1,1,0,0,0,0,1,1
US9174640,1,1,0,0,0,0,1,1
US9150219,1,1,0,0,0,0,1,1
DE102011088593A1,1,1,0,0,0,0,1,1
US8602939,1,1,0,0,0,0,1,1
US20140299394A1,1,1,0,0,0,0,1,1
DE102012216134A1,1,1,0,0,0,0,1,1
US20090107226A1,1,1,0,0,0,0,1,1
US8696505,1,1,0,0,0,0,1,1
DE102010035776B4,1,1,0,0,0,0,1,1
US20180162405A1,1,1,0,0,0,0,1,1
DE102012204475A1,1,1,0,0,0,0,1,1
DE102011088602A1,1,1,0,0,0,0,1,1
WO2012117501A1,1,1,0,0,0,0,1,1
US8616087,1,1,0,0,0,0,1,1
DE102009000709A1,1,1,0,0,0,0,1,1
US8652001,1,1,0,0,0,0,1,1
US8482167,1,1,0,0,0,0,1,1
DE102012013248B4,1,1,0,0,0,0,1,1
US9446762,1,1,0,0,0,0,1,1
FR2988440B1,1,1,0,0,0,0,1,1
FR2989141B1,1,1,0,0,0,0,1,1
DE102014204088A1,1,1,0,0,0,0,1,1
DE102012017545A1,1,1,0,0,0,0,1,1
DE102015225215A1,1,1,0,0,0,0,1,1
US9783188,1,1,0,0,0,0,1,1
WO2013051120A1,1,1,0,0,0,0,1,1
US9211888,1,1,0,0,0,0,1,1
DE102012213148A1,1,1,0,0,0,0,1,1
FR3007791B1,1,1,0,0,0,0,1,1
US8292779,1,1,0,0,0,0,1,1
US9637109,1,1,0,0,0,0,1,1
JP2011020515A,1,1,0,1,1,0,0,0
JP5306982B2,1,1,0,1,1,0,0,0
JP4222302B2,1,1,0,1,1,0,0,0
JP3687298B2,1,1,0,1,1,0,0,0
JP1998002241A,1,1,0,1,1,0,0,0
JP3928281B2,1,1,0,1,1,0,0,0
JP2006044348A,1,1,0,1,1,0,0,0
JP1998102241A,1,1,0,1,1,0,0,0
JP2014019263A,1,1,0,1,1,0,0,0
JP4470234B2,1,1,0,1,1,0,0,0
US20180072148A1,1,0,1,0,0,0,0,0
US8490727,1,1,1,0,0,1,0,0
JP2001352604A,1,1,0,1,1,0,0,0
JP2017171258A,1,1,0,1,1,0,0,0
JP2013230705A,1,1,0,1,1,0,0,0
JP5133945B2,1,1,0,1,1,0,0,0
JP2016168973A,1,1,0,1,1,0,0,0
JP1999182087A,1,1,0,1,1,0,0,0
JP6172112B2,1,1,0,1,1,0,0,0
JP5838884B2,1,1,0,1,1,0,0,0
JP3539075B2,1,1,0,1,1,0,0,0
JP5095252B2,1,1,0,1,1,0,0,0
JP3551976B2,1,1,0,1,1,0,0,0
JP2016168974A,1,1,0,1,1,0,0,0
JP3259427B2,1,1,0,1,1,0,0,0
JP4457528B2,1,1,0,1,1,0,0,0
JP2005065347A,1,1,0,1,1,0,0,0
JP2007050860A,1,1,0,1,1,0,0,0
JP5575520B2,1,1,0,1,1,0,0,0
JP2016113020A,1,1,0,1,1,0,0,0
DE102017202160A1,1,0,1,0,1,0,0,0
US8226523,1,0,0,1,1,1,0,0
US8092196,1,0,0,1,1,1,0,0
DE102017202456A1,1,0,0,0,1,0,1,0
US10018253,1,0,0,0,1,0,1,0
DE102017207196A1,1,0,0,0,1,0,1,0
DE102015218590A1,1,0,0,0,1,0,1,0
EP3263380B1,1,1,0,0,0,0,1,1
DE102015016179A1,1,1,0,0,0,0,1,1
US9428178,1,1,0,0,0,0,1,1
US20150167615A1,1,1,0,0,0,0,1,1
US9527505,1,1,0,0,0,0,1,1
WO2011122135A1,1,1,0,0,0,0,1,1
DE102016113472A1,1,1,0,0,0,0,1,1
CN106915345B,1,1,0,0,0,0,1,1
US9643590,1,1,0,0,0,0,1,1
US9162671,1,1,0,0,0,0,1,1
US8803385,1,1,0,0,0,0,1,1
EP2514619B1,1,1,0,0,0,0,1,1
US20160082948A1,1,1,0,0,0,0,1,1
US9409561,1,1,0,0,0,0,1,1
DE102012101012A1,1,1,0,0,0,0,1,1
US20170080920A1,1,1,0,0,0,0,1,1
FR2979091B1,1,1,0,0,0,0,1,1
DE102016212221A1,1,1,0,0,0,0,1,1
US8536743,1,1,0,0,0,0,1,1
DE102014205982A1,1,1,0,0,0,0,1,1
US8740744,1,1,0,0,0,0,1,1
DE102014225240A1,1,1,0,0,0,0,1,1
US8498765,1,1,0,0,0,0,1,1
DE102016124374A1,1,1,0,0,0,0,1,1
US10322712,1,1,0,0,0,0,1,1
ITRM2012000250A1,1,1,0,0,0,0,1,1
US20180043877A1,1,1,0,0,0,0,1,1
DE102011088387A1,1,1,0,0,0,0,1,1
ITBO2013000446A1,1,1,0,0,0,0,1,1
US9341218,1,1,0,0,0,0,1,1
US20130274978A1,1,1,0,0,0,0,1,1
DE102012216277A1,1,1,0,0,0,0,1,1
US20190234506A1,1,1,0,0,0,0,1,1
WO2014063700A1,1,1,0,0,0,0,1,1
US9145862,1,1,0,0,0,0,1,1
DE102011075221A1,1,1,0,0,0,0,1,1
US8578904,1,1,0,0,0,0,1,1
US8870709,1,1,0,0,0,0,1,1
US9428174,1,1,0,0,0,0,1,1
DE102014011995A1,1,1,0,0,0,0,1,1
US8727938,1,1,0,0,0,0,1,1
DE102015117886A1,1,1,0,0,0,0,1,1
US9789765,1,1,0,0,0,0,1,1
US8702559,1,1,0,0,0,0,1,1
DE102012001174A1,1,1,0,0,0,0,1,1
US9403524,1,1,0,0,0,0,1,1
DE102016208662A1,1,1,0,0,0,0,1,1
DE102016218142A1,1,1,0,0,0,0,1,1
DE102014009866B4,1,1,0,0,0,0,1,1
DE102013207856A1,1,1,0,0,0,0,1,1
DE19758976B4,1,1,0,0,0,0,1,1
DE102011103964A1,1,1,0,0,0,0,1,1
US20150148191A1,1,1,0,0,0,0,1,1
US20170240161A1,1,1,0,0,0,0,1,1
US9272707,1,1,0,0,0,0,1,1
DE102012019971B4,1,1,0,0,0,0,1,1
US8186464,1,1,0,0,0,0,1,1
KR1020170026229A,1,1,0,0,0,0,1,1
FR2972683A1,1,1,1,0,0,0,0,0
EP3308990A1,1,1,1,0,0,0,0,0
EP2134559B1,1,1,1,0,0,0,0,0
DE102007003107B4,1,1,1,0,0,0,0,0
WO2009053200A1,1,1,1,0,0,0,0,0
US7694763,1,0,0,1,1,0,0,0
CN100404340C,1,0,0,1,1,0,0,0
DE102014221914A1,1,0,0,1,1,0,0,0
JP3807369B2,1,1,0,1,1,0,0,0
JP3889407B2,1,1,0,1,1,0,0,0
JP2016043883A,1,1,0,1,1,0,0,0
JP2017030375A,1,1,0,1,1,0,0,0
JP5732305B2,1,1,0,1,1,0,0,0
JP4593253B2,1,1,0,1,1,0,0,0
JP5291414B2,1,1,0,1,1,0,0,0
JP5786692B2,1,1,0,1,1,0,0,0
JP2011063108A,1,1,0,1,1,0,0,0
JP3570553B2,1,1,0,1,1,0,0,0
JP3954038B2,1,1,0,1,1,0,0,0
JP3536538B2,1,1,0,1,1,0,0,0
US8056659,1,0,1,1,1,0,0,0
DE102017009704A1,1,0,1,0,1,0,0,0
US10384525,1,0,1,0,1,0,0,0
JP5501511B2,1,1,0,1,1,0,0,0
JP2009202693A,1,1,0,1,1,0,0,0
JP4525576B2,1,1,0,1,1,0,0,0
JP6322819B2,1,1,0,1,1,0,0,0
JP5322707B2,1,1,0,1,1,0,0,0
JP2015058790A,1,1,0,1,1,0,0,0
JP5429665B2,1,1,0,1,1,0,0,0
JP5309000B2,1,1,0,1,1,0,0,0
JP5972091B2,1,1,0,1,1,0,0,0
JP3692796B2,1,1,0,1,1,0,0,0
JP5575522B2,1,1,0,1,1,0,0,0
JP1998104606A,1,1,0,1,1,0,0,0
JP2012180867A,1,1,0,1,1,0,0,0
JP2013180623A,1,1,0,1,1,0,0,0
EP3365575A1,1,0,1,0,0,0,1,0
WO2015108147A1,1,0,1,0,0,0,1,0
US9527506,1,1,1,0,0,0,0,0
DE102013209675A1,1,0,1,0,1,0,1,0
US8091661,1,0,1,1,1,0,0,0
US6311495,1,0,0,0,1,1,0,0
DE102017114989B3,1,0,1,1,0,0,0,0
US20180162368A1,1,0,1,1,0,0,0,0
FR3061468B1,1,1,0,0,0,0,1,1
US9803569,1,1,0,0,0,0,1,1
US8585522,1,1,0,0,0,0,1,1
US9481360,1,1,0,0,0,0,1,1
US20140180522A1,1,1,0,0,0,0,1,1
DE102011089156A1,1,1,0,0,0,0,1,1
FR3018228B1,1,1,0,0,0,0,1,1
US9550488,1,1,0,0,0,0,1,1
US20180105030A1,1,1,0,0,0,0,1,1
US8757305,1,1,0,0,0,0,1,1
US9409564,1,1,0,0,0,0,1,1
US20120083386A1,1,1,0,0,0,0,1,1
US20120302386A1,1,1,0,0,0,0,1,1
DE102011078110A1,1,1,0,0,0,0,1,1
DE102013104656A1,1,1,0,0,0,0,1,1
US8366584,1,1,0,0,0,0,1,1
US8562469,1,1,0,0,0,0,1,1
US9452748,1,1,0,0,0,0,1,1
DE102011005030A1,1,1,0,0,0,0,1,1
US9862372,1,1,0,0,0,0,1,1
US20170120898A1,1,1,0,0,0,0,1,1
FR3061468A1,1,1,0,0,0,0,1,1
US9840248,1,1,0,0,0,0,1,1
WO2017101930A1,1,1,0,0,0,0,1,1
US20170328330A1,1,1,0,0,0,0,1,1
US8777805,1,1,0,0,0,0,1,1
DE102015204552A1,1,1,0,0,0,0,1,1
US8668621,1,1,0,0,0,0,1,1
WO2018103775A1,1,1,0,0,0,0,1,1
DE102009006121A1,1,1,0,0,0,1,0,0
WO2008154675A1,1,1,0,0,0,1,0,0
JP5906142B2,1,1,0,1,1,0,0,0
JP5051476B2,1,1,0,1,1,0,0,0
JP6020318B2,1,1,0,1,1,0,0,0
JP2010155481A,1,1,0,1,1,0,0,0
JP2014043154A,1,1,0,1,1,0,0,0
JP2006044536A,1,1,0,1,1,0,0,0
JP3647399B2,1,1,0,1,1,0,0,0
JP4228954B2,1,1,0,1,1,0,0,0
JP3610714B2,1,1,0,1,1,0,0,0
SE540867C2,1,0,1,0,0,0,1,0
EP1970239B1,1,1,1,0,0,1,0,0
EP2018290B1,1,1,1,0,0,0,0,0
DE102014221196A1,1,1,1,0,0,0,0,0
EP2050608B1,1,1,1,0,0,0,0,0
US20170297551A1,1,1,0,0,0,0,1,1
US20150105959A1,1,1,0,0,0,0,1,1
DE102011100754A1,1,1,0,0,0,0,1,1
US20140041368A1,1,1,0,0,0,0,1,1
US8671801,1,1,0,0,0,0,1,1
DE102011088385A1,1,1,0,0,0,0,1,1
US20170227075A1,1,1,0,0,0,0,1,1
EP3510294A1,1,1,0,0,0,0,1,1
US20120065822A1,1,1,0,0,0,0,1,1
US20120242198A1,1,1,0,0,0,0,1,1
US20180194341A1,1,1,0,0,0,0,1,1
US8494730,1,1,0,0,0,0,1,1
US9014896,1,1,0,0,0,0,1,1
US20130199464A1,1,1,0,0,0,0,1,1
WO2012041573A1,1,1,0,0,0,0,1,1
DE102016212488A1,1,1,0,0,0,0,1,1
US20150183425A1,1,1,0,0,0,0,1,1
