Publication Number,B60K6/48,Y02T10/6221,B60K6/387,B60K6/405,B60K2006/4825,Y02T10/6252,B60K6/42
US20190128380A1,1,1,1,0,1,1,0
US9731588,1,1,1,0,1,1,0
WO2018162000A1,1,1,1,0,1,1,0
US8874289,1,1,1,0,1,1,0
US9120482,1,1,1,0,1,1,0
US20180093559A1,1,1,1,0,1,1,0
US10005452,1,1,1,0,1,1,0
US9987916,1,1,1,0,1,1,0
US9222563,1,1,1,0,1,1,0
US10378616,1,1,1,0,1,1,0
US20190084575A1,1,1,1,0,1,1,0
US9073543,1,1,1,0,1,1,0
US10232841,1,1,1,0,1,1,0
US6849026,1,1,1,0,1,1,0
US10286770,1,1,1,0,1,1,0
US9956953,1,1,1,0,1,1,0
US9381908,1,1,1,0,1,1,0
US10259448,1,1,1,0,1,1,0
WO2018113819A1,1,1,1,0,1,1,0
US8939867,1,1,1,0,1,1,0
JP5605710B2,1,1,1,0,1,1,0
US20190168765A1,1,1,1,0,1,1,0
US8834314,1,1,1,0,1,1,0
US9937914,1,1,1,0,1,1,0
US10253851,1,1,1,0,1,1,0
WO2013020734A1,1,1,1,0,1,1,0
US10183663,1,1,1,0,1,1,0
US10363924,1,1,1,0,1,1,0
WO2017178202A1,1,1,1,0,1,1,0
US9527375,1,1,1,0,1,1,0
US9950605,0,0,1,1,1,1,0
US20190092316A1,1,1,1,0,0,0,1
US8746379,1,1,1,0,0,0,1
CN107757336A,1,1,0,0,1,0,1
US8636090,1,1,0,1,0,0,1
WO2019110285A1,1,0,1,1,1,0,0
FR2839759B1,1,0,1,1,0,0,0
US20180264925A1,1,1,0,1,1,1,0
DE19917295B4,1,0,1,1,0,0,0
US8863926,1,0,1,1,0,0,0
US6388348,1,0,1,1,0,0,0
FR2791009B1,1,0,1,1,0,0,0
WO2018228637A1,1,0,1,1,0,0,0
WO2001010664A1,1,0,1,1,0,0,0
WO2019105508A1,1,0,1,1,0,0,0
US6455968,1,0,1,1,0,0,0
US9855834,1,0,1,1,0,0,0
WO2019105512A1,1,0,1,1,0,0,0
US7017693,1,0,1,1,0,0,0
US6217476,1,0,1,1,0,0,0
EP1727697A1,1,0,1,1,0,0,0
WO2019001853A1,1,0,1,1,0,0,0
FR2839758B1,1,0,1,1,0,0,0
FR2832475B1,1,0,1,1,0,0,0
EP3529512A1,1,1,1,0,1,1,1
EP2865551A3,1,0,0,1,1,1,0
US9969256,1,0,1,1,1,0,0
US20180238439A1,1,0,1,1,0,0,0
US20190070948A1,1,0,1,1,1,0,0
DE102012204774A1,1,1,0,1,1,1,0
USR36678,1,1,1,1,0,0,0
WO2003031809A1,1,1,1,1,0,0,0
US20180141542A1,1,1,0,1,1,1,0
WO2018192892A1,1,0,1,0,1,1,0
US7559386,1,1,1,0,0,0,1
US8549959,1,1,1,1,0,0,0
US20180362020A1,1,0,1,0,1,1,0
US9561793,1,0,1,0,1,1,0
US9963141,1,1,1,0,0,0,1
US20110073393A1,1,1,1,0,0,0,1
US20170355257A1,1,0,1,0,1,1,0
US10160446,1,1,1,0,1,1,0
US8978799,1,1,1,0,0,0,1
US9358969,1,0,1,0,1,1,0
US6612963,1,1,1,1,0,0,0
CN103863099B,1,1,1,1,1,1,0
US8997956,1,1,1,1,0,0,0
DE102015014097A1,1,1,0,1,1,1,0
WO2017202419A1,1,1,1,0,1,1,0
US9475495,1,1,1,0,1,1,0
US20180015817A1,1,1,1,0,1,1,0
DE102015224793A1,1,1,1,0,1,1,0
DE102016215930A1,1,1,1,0,1,1,0
DE102011089163A1,1,1,1,0,1,1,0
DE102016219462A1,1,1,1,0,1,1,0
US20160297292A1,1,1,1,0,1,1,0
DE102016217822A1,1,1,1,0,1,1,0
DE102016222420A1,1,1,1,0,1,1,0
US9937919,1,1,1,0,1,1,0
DE102016220710A1,1,1,1,0,1,1,0
DE102016011308A1,1,1,1,0,1,1,0
DE102017206205A1,1,1,1,0,1,1,0
US9932031,1,1,1,0,1,1,0
US20170232960A1,1,1,1,0,1,1,0
US20170151938A1,1,1,1,0,1,1,0
US8602940,1,1,1,1,1,1,0
US6656069,1,1,1,1,0,0,0
US6679796,1,1,1,1,0,0,0
DE102015208424A1,1,1,1,0,1,1,0
US9709159,1,1,1,0,1,1,0
US9816608,1,1,1,0,1,1,0
CN107054052A,1,1,1,0,1,1,0
CN107757339A,1,1,1,0,1,1,0
DE102014213818A1,1,1,1,0,1,1,0
US9669837,1,1,1,0,1,1,0
DE102015221082A1,1,1,1,0,1,1,0
DE102015112242A1,1,1,1,0,1,1,0
DE102015112241A1,1,1,1,0,1,1,0
DE102014221197A1,1,1,1,0,1,1,0
US9499165,1,1,1,0,1,1,0
US9981651,1,1,1,0,1,1,0
DE102016212993A1,1,1,1,0,1,1,0
WO2018158033A1,1,1,1,1,1,1,0
US6513609,1,1,1,1,0,0,0
US6638193,1,1,1,1,0,0,0
US20170274757A1,1,1,1,0,1,1,0
DE102016209504A1,1,1,1,0,1,1,0
FR3062358A1,1,1,1,0,1,1,0
US9822830,1,1,1,0,1,1,0
DE102016221491A1,1,1,1,0,1,1,0
US9180858,1,1,1,0,1,1,0
US20170326962A1,1,1,1,0,1,1,0
US9511763,1,1,1,0,1,1,0
DE102012218120A1,1,1,1,0,1,1,0
US20190226550A1,1,1,1,0,1,1,0
US9834204,1,1,1,0,1,1,0
US9358870,1,1,0,1,1,0,0
DE102016224006A1,1,1,1,0,1,1,0
DE102012218121A1,1,1,1,0,1,1,0
DE102016218311A1,1,1,1,0,1,1,0
US8874292,1,1,1,0,1,1,0
DE102016219380A1,1,1,1,0,1,1,0
WO2018001621A1,1,1,1,1,1,1,0
DE19964504B4,1,1,1,1,1,1,0
US8322503,1,1,1,1,0,0,0
US9789923,1,1,0,1,1,1,0
DE102011089166A1,1,1,1,0,1,1,0
US9586578,1,1,1,0,1,1,0
US20190211889A1,1,1,1,0,1,1,0
CN107914567A,1,1,1,0,1,1,0
US10358124,1,1,1,0,1,1,0
US20170167546A1,1,1,1,0,1,1,0
US9869354,1,1,1,0,1,1,0
US20170297423A1,1,1,1,0,1,1,0
DE102009019585A1,1,1,1,1,0,0,0
WO2010007128A1,1,1,1,1,0,0,0
US6533701,1,1,1,0,1,1,0
CN105291813B,1,1,1,0,1,1,0
US6878093,1,1,1,0,1,1,0
JP5706274B2,1,1,1,0,1,1,0
US20170120899A1,1,1,1,1,1,0,0
US20170368925A1,1,1,1,0,1,0,0
US20190135269A1,1,1,1,0,1,0,0
WO2006137288A1,1,1,1,1,0,0,0
WO2014111217A1,1,1,1,0,1,0,0
US9939031,1,1,1,0,1,0,0
DE102014220949A1,1,1,1,0,1,1,0
DE102014220973A1,1,1,1,0,1,1,0
US9365211,1,1,1,0,1,1,0
US20170305260A1,1,1,1,0,1,1,0
US9283956,1,1,1,0,1,1,0
US9381801,1,1,1,0,1,1,0
WO2015046151A1,1,1,1,0,1,1,0
WO2015052777A1,1,1,1,0,1,1,0
US9789757,1,1,1,0,1,0,0
US20180278122A1,1,1,1,0,1,0,0
US10328925,1,1,1,0,1,0,0
US9656657,1,1,1,0,1,1,0
US10328785,1,1,1,0,1,1,0
DE102014204795A1,1,1,1,0,1,1,0
DE102014220967A1,1,1,1,0,1,1,0
WO2015037043A1,1,1,1,0,1,1,0
US20180022206A1,1,1,1,0,1,1,0
DE102015117991A1,1,1,1,0,1,1,0
WO2016200317A1,1,1,1,0,1,1,0
US9381912,1,1,1,0,1,1,0
WO2015046150A1,1,1,1,0,1,1,0
US10266172,1,1,1,0,1,1,0
WO2015037042A1,1,1,1,0,1,1,0
DE102015215071A1,1,1,1,0,1,1,0
US20180208202A1,1,1,1,0,1,1,0
JP2017214982A,1,1,1,0,1,1,0
US9434372,1,1,1,0,1,1,0
US20190168601A1,0,0,1,1,1,0,0
CN104097499B,0,0,1,1,1,1,0
US10024408,1,0,0,1,1,1,0
US9623857,1,0,0,1,1,1,0
US6184603,1,0,1,1,0,0,0
US20180139903A1,1,1,0,0,0,0,1
US6332504,1,1,0,0,0,0,1
WO2018157220A1,1,1,0,0,0,0,1
US9381800,1,1,0,0,0,0,1
US9308808,1,1,0,0,0,0,1
US9399394,1,1,0,0,0,0,1
US9475483,1,0,1,0,1,1,0
US9221328,1,0,1,0,1,1,0
US9598085,1,0,1,0,1,1,0
US9718464,1,0,1,0,1,1,0
US9688268,1,0,1,0,1,1,0
US9791040,1,0,1,0,1,1,0
US9421965,1,0,1,0,1,1,0
US20190273410A1,1,0,0,1,1,0,0
US20190084400A1,1,0,0,1,1,0,0
US20180201118A1,1,0,0,1,1,0,0
US9242636,1,0,1,0,1,1,0
US8979704,1,0,1,0,1,1,0
US9764733,1,0,1,0,1,1,0
US10144414,1,0,1,0,1,1,0
US9988036,1,0,1,0,1,1,0
WO2018158046A3,1,0,1,0,1,1,0
US9731699,1,0,1,0,1,1,0
US10343677,1,0,1,0,1,1,0
US10106162,1,0,1,0,1,1,0
US9637113,1,0,1,0,1,1,0
US9539892,1,1,0,0,0,0,1
US9527514,1,1,0,0,0,0,1
US10369984,1,1,0,0,0,0,1
US9919592,1,1,0,0,0,0,1
DE102017211711A1,1,0,1,1,1,0,0
FR3073785A1,1,0,1,1,1,0,0
FR3073784A1,1,0,1,1,1,0,0
US9341242,1,0,1,0,1,1,0
WO2017194047A1,1,0,1,0,1,1,0
US10239516,1,0,1,0,1,1,0
US10183675,1,0,1,0,1,1,0
US9956954,1,0,1,0,1,1,0
US9707953,1,0,1,0,1,1,0
US10308240,1,0,1,0,1,1,0
US20170341639A1,1,0,1,0,1,1,0
US9926989,1,0,1,0,1,1,0
US10000204,1,0,1,0,1,1,0
US10099693,1,0,1,0,1,1,0
US9840139,1,0,1,0,1,1,0
US9545908,1,0,1,0,1,1,0
US9469295,1,0,1,0,1,1,0
US8978798,1,1,0,0,0,0,1
US9545842,1,1,0,0,0,0,1
US6396165,1,1,0,0,0,0,1
US10336177,1,0,1,0,1,1,0
US9533677,1,0,1,0,1,1,0
EP3055159B1,1,0,1,0,1,1,0
US10150462,1,0,1,0,1,1,0
US8992363,1,0,1,0,1,1,0
US10189460,1,0,1,0,1,1,0
JP2000145946A,1,0,1,0,1,1,0
JP2000023313A,1,0,1,0,1,1,0
US20180304747A1,1,0,0,1,1,0,0
WO2019001621A1,1,0,0,1,1,0,0
WO2018219403A1,1,0,0,1,1,0,0
DE102017208224A1,1,0,1,1,1,0,0
FR3073788A1,1,0,1,1,1,0,0
US10259310,1,0,0,1,1,0,0
US9827978,1,0,1,0,1,1,0
US9827980,1,0,1,0,1,1,0
US10053085,1,0,1,0,1,1,0
US9479027,1,0,1,0,1,1,0
US10173665,1,0,1,0,1,1,0
US9783183,1,0,1,0,1,1,0
US9758149,1,0,1,0,1,1,0
US10315504,1,0,1,0,1,1,0
EP3360742A1,1,0,1,0,1,1,0
US20190176607A1,1,0,0,1,1,0,0
US8490727,1,1,1,1,0,0,1
DE102012213148A1,1,1,0,0,1,1,1
US10124796,1,0,1,0,1,1,0
DE102016215181A1,1,0,1,0,1,1,0
FR3073786A1,1,0,1,1,1,0,0
FR3073787A1,1,0,1,1,1,0,0
US8757305,1,1,0,0,1,1,1
KR1020190108111A,1,0,0,1,1,0,0
WO2018134011A1,1,0,0,1,1,0,0
US10173514,1,0,0,1,1,0,0
FR3052401B1,1,0,1,0,1,1,0
US7954578,1,1,1,1,0,0,1
US9937920,1,1,1,0,0,0,1
US20060014602A1,1,1,1,1,0,0,0
US20180215248A1,1,0,1,1,0,0,0
US20190047398A1,1,0,1,1,0,0,0
DE102010011859A1,1,1,0,1,1,1,0
US7472768,1,1,0,1,0,0,0
DE102005035327A1,1,1,0,1,0,0,0
US7950480,1,1,0,1,0,0,0
WO2014025048A1,1,1,0,1,0,0,0
US8836187,1,1,0,1,0,0,0
EP2094517B1,1,1,1,1,0,0,0
DE102015201458A1,1,1,0,1,1,1,0
DE102011086741A1,1,1,0,1,1,1,0
DE102014217667A1,1,1,0,1,1,1,0
EP2146855B1,1,1,1,1,0,0,0
DE102015215153A1,1,1,1,0,1,1,0
DE102011078125A1,1,1,1,0,1,1,0
WO2019115126A1,1,0,1,0,1,0,0
WO2019115247A1,1,0,1,0,1,0,0
CN109278533A,1,0,1,0,1,0,0
CN109278535A,1,0,1,0,1,0,0
US20180313409A1,1,0,1,0,1,0,0
US10322716,1,0,1,0,1,0,0
WO2019015714A1,1,0,1,0,1,0,0
WO2019015723A1,1,0,1,0,1,0,0
WO2019015718A1,1,0,1,0,1,0,0
US20190168743A1,1,0,1,0,1,0,0
CN109278528A,1,0,1,0,1,0,0
US20190077245A1,1,0,1,0,1,0,0
WO2019086067A1,1,0,1,0,1,0,0
WO2008025691A1,1,1,1,1,0,0,0
FR3026062B1,1,1,1,0,1,1,0
DE102016202879A1,1,1,1,0,1,1,0
DE102011082185B4,1,1,0,1,1,1,0
US20140246935A1,1,1,0,1,1,1,0
US20100180722A1,1,1,0,1,1,1,0
US9327590,1,1,0,1,1,1,0
US10046753,1,0,1,0,1,0,0
WO2018210368A1,1,0,1,0,1,0,0
WO2019015719A1,1,0,1,0,1,0,0
CN109278530A,1,0,1,0,1,0,0
WO2019063181A3,1,0,1,0,1,0,0
WO2019115125A1,1,0,1,0,1,0,0
WO2019063226A1,1,0,1,0,1,0,0
DE102016223784A1,1,0,1,0,1,0,0
US6781272,1,1,0,1,0,0,0
US20180236867A1,1,1,0,1,0,0,0
US5427196,1,1,0,1,0,0,0
US7308960,1,1,0,1,0,0,0
US8469127,1,1,0,1,0,0,0
US7325637,1,1,0,1,0,0,0
WO2010007122A1,1,1,0,1,0,0,0
US20020084120A1,1,1,0,1,0,0,0
US9873317,1,1,0,1,0,0,0
US20190193551A1,1,1,0,1,0,0,0
US9446657,1,1,0,1,0,0,0
US7108626,1,1,0,1,0,0,0
WO2011122193A1,1,1,0,1,0,0,0
US9579965,1,1,0,1,0,0,0
WO2003053403A3,1,1,0,1,0,0,0
US6176808,1,1,0,1,0,0,0
WO2017170396A1,1,1,0,1,0,0,0
US10008904,1,1,0,1,0,0,0
US9849791,1,1,0,1,0,0,0
US9593761,1,1,0,1,0,0,0
US9421857,1,1,0,1,0,0,0
DE9104740U1,1,1,0,1,0,0,0
US9416826,1,1,0,1,0,0,0
EP2287487B1,1,1,1,1,0,0,0
DE102010045034A1,1,1,1,0,1,1,0
US6849017,1,1,0,1,0,0,0
US7753149,1,1,0,1,0,0,0
US6492742,1,1,0,1,0,0,0
US6474428,1,1,0,1,0,0,0
US9193255,1,1,0,1,0,0,0
US9175759,1,1,0,1,0,0,0
US9654046,1,1,0,1,0,0,0
US7296644,1,1,0,1,0,0,0
US20190039447A1,1,1,0,1,0,0,0
WO2008151926A1,1,1,0,1,0,0,0
FR2809880B1,1,1,0,1,0,0,0
DE10049197B4,1,1,0,1,0,0,0
US20050107198A1,1,1,0,1,0,0,0
US9840141,1,1,0,1,0,0,0
US6569054,1,1,1,1,0,0,0
FR3069201B1,1,0,1,0,1,0,0
US10336314,1,0,1,0,1,0,0
US20180170356A1,1,0,1,0,1,0,0
US20180099655A1,1,0,1,0,1,0,0
WO2015018575A1,1,0,1,0,1,0,0
US20190202278A1,1,0,1,0,1,0,0
US10059186,1,0,1,0,1,0,0
WO2019015711A1,1,0,1,0,1,0,0
CN109278526A,1,0,1,0,1,0,0
CN109278532A,1,0,1,0,1,0,0
US20180111470A1,1,0,1,0,1,0,0
US20080023287A1,1,1,1,1,0,0,0
US8960393,1,1,1,1,0,0,0
SE539692C2,1,0,1,0,1,1,0
EP1377473B1,1,1,0,1,0,0,0
EP3437909A4,1,1,0,1,0,0,0
WO2003078188A2,1,1,0,1,0,0,0
DE10302674A1,1,1,0,1,0,0,0
US8230956,1,1,0,1,0,0,0
US8857543,1,1,0,1,0,0,0
WO2012018027A1,1,1,0,1,0,0,0
US6499549,1,1,0,1,0,0,0
US7297083,1,1,0,1,0,0,0
WO2014119086A1,1,1,0,1,0,0,0
US9447864,1,1,0,1,0,0,0
US9068638,1,1,0,1,0,0,0
EP1693238B1,1,1,0,1,0,0,0
US9027440,1,1,0,1,0,0,0
US9821648,1,1,0,1,0,0,0
US20180208045A1,1,0,1,0,1,1,0
US10106166,1,0,1,0,1,1,0
US6508348,1,1,1,1,0,0,0
US8770364,1,1,1,1,0,0,0
WO2016059076A1,1,0,1,0,1,0,0
WO2018113817A1,1,0,1,0,1,0,0
US5875691,1,1,1,1,0,0,0
WO2015110108A1,1,0,1,0,1,0,0
WO2019015721A1,1,0,1,0,1,0,0
US10293674,1,0,1,0,1,0,0
DE102015112788A1,1,1,1,0,1,1,0
DE102012208678A1,1,1,1,0,1,1,0
DE102015214985A1,1,1,1,0,1,1,0
US9616882,1,0,1,0,1,1,0
WO2018219385A1,1,0,1,0,1,0,0
WO2019034345A1,1,0,1,0,1,0,0
WO2019015722A1,1,0,1,0,1,0,0
FR3069199A1,1,0,1,0,1,0,0
US10000205,1,0,1,0,1,1,0
EP3423321A1,1,0,1,0,1,1,0
US5415603,1,1,0,1,0,0,0
US7921949,1,1,0,1,0,0,0
US7255021,1,1,0,1,0,0,0
DE10203918A1,1,1,0,1,0,0,0
US4267895,1,1,0,1,0,0,0
US20180072306A1,1,1,1,0,1,1,0
US8545355,1,1,1,0,1,1,0
DE102016213736A1,1,1,1,0,1,1,0
DE102016221115A1,1,1,1,0,1,1,0
US9856925,1,1,1,0,1,1,0
US20120217122A1,1,1,1,0,1,1,0
DE102015221490A1,1,1,1,0,1,1,0
DE102015218990A1,1,1,1,0,1,1,0
US8430790,1,1,1,0,1,1,0
KR1020000076090A,1,1,1,0,1,1,0
US9975543,1,1,1,0,1,1,0
US20170008422A1,1,1,1,0,1,1,0
DE102016011411A1,1,1,1,0,1,1,0
DE102016211942A1,1,1,1,0,1,1,0
DE102014214543A1,1,1,1,0,1,1,0
DE102016213742A1,1,1,1,0,1,1,0
US20160137191A1,1,1,1,0,1,1,0
DE102016213706A1,1,1,1,0,1,1,0
DE102011080454A1,1,1,1,0,1,1,0
US20120312111A1,1,1,1,0,1,1,0
EP2008854A1,1,1,1,0,1,1,0
US20180015816A1,1,1,1,0,1,1,0
DE102015220604A1,1,1,1,0,1,1,0
DE102016202138A1,1,1,1,0,1,1,0
US20160318500A1,1,1,1,0,1,1,0
CN105485309A,1,1,1,0,1,1,0
US8714332,1,1,1,1,0,0,0
FR3031478A1,1,1,1,1,0,0,0
US8801558,1,1,1,0,1,1,0
US20160084349A1,1,1,1,0,1,1,0
DE102014225239A1,1,1,1,0,1,1,0
CN106499738A,1,1,1,0,1,1,0
US8585523,1,1,1,0,1,1,0
US8517892,1,1,1,0,1,1,0
DE102018117583A1,1,1,1,0,1,1,0
US20160089968A1,1,1,1,0,1,1,0
US20150273997A1,1,1,1,0,1,1,0
WO2018113818A1,1,1,1,0,1,1,0
US8777806,1,1,1,0,1,1,0
US9518622,1,1,1,0,1,1,0
US9610953,1,1,1,0,1,1,0
US8480525,1,1,1,0,1,1,0
US9175632,1,1,1,0,1,1,0
FR3062357A1,1,1,1,0,1,1,0
RU2527592C2,1,1,1,0,1,1,0
DE102015216440A1,1,1,1,0,1,1,0
US9056613,1,1,1,0,1,1,0
US9669824,1,1,1,0,1,1,0
US9975546,1,1,1,0,1,1,0
US20160091055A1,1,1,1,0,1,1,0
US20190176808A1,1,1,1,0,1,1,0
EP3074255A4,1,1,1,0,1,1,0
EP3516251A1,1,1,1,0,1,1,0
DE102014214464A1,1,1,1,0,1,1,0
CN106965670A,1,1,1,0,1,1,0
WO2018113839A1,1,1,1,0,1,1,0
US9969254,1,1,1,0,1,1,0
US9327721,1,1,1,0,1,1,0
US20150175151A1,1,1,1,0,1,1,0
DE102016216688A1,1,1,1,0,1,1,0
WO2017101931A1,1,1,1,0,1,1,0
DE102015221502A1,1,1,1,0,1,1,0
DE102015203441A1,1,1,1,0,1,1,0
DE102016223019A1,1,1,1,0,1,1,0
US9108615,1,1,1,0,1,1,0
DE102015224058A1,1,1,1,0,1,1,0
US8696506,1,1,1,0,1,1,0
US10293673,1,1,0,0,1,1,0
DE102014218829A1,1,1,0,0,1,1,0
US8974339,1,1,0,0,1,1,0
US9061684,1,1,0,0,1,1,0
US9956948,1,1,0,0,1,1,0
US9109692,1,1,0,0,1,1,0
US7395735,1,1,0,0,1,1,0
US9421967,1,1,0,0,1,1,0
WO2018010731A1,1,1,0,0,1,1,0
US8968151,1,1,0,0,1,1,0
US9162683,1,1,0,0,1,1,0
US9610939,1,1,0,0,1,1,0
US10155512,1,1,0,0,1,1,0
WO2018188689A1,1,1,0,0,1,1,0
WO2013054421A1,1,1,0,0,1,1,0
US20180111604A1,1,1,0,0,1,1,0
WO2016180581A1,1,1,0,0,1,1,0
DE102015014096A1,1,1,0,0,1,1,0
US9428171,1,1,0,0,1,1,0
CN105691183A,1,1,0,0,1,1,0
US9610937,1,1,0,0,1,1,0
DE102016225628A1,1,1,0,0,1,1,0
US9637106,1,1,0,0,1,1,0
US9162665,1,1,0,0,1,1,0
US9541182,1,1,0,0,1,1,0
US9381910,1,1,0,0,1,1,0
US20190054913A1,1,1,0,0,1,1,0
US9199638,1,1,0,0,1,1,0
US9266528,1,1,0,0,1,1,0
US9925859,1,1,0,0,1,1,0
WO2010105652A1,1,1,0,0,1,1,0
US9050970,1,1,0,0,1,1,0
US9102327,1,1,0,0,1,1,0
DE102014203243A1,1,1,0,0,1,1,0
EP1902888A3,1,1,1,1,0,0,0
